"Model","Scenario","Region","X2045","X2046","X2047","X2048","X2049","X2050"
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","LTU",-0.02180016189,-0.02267179962,-0.02357673688,-0.02435909355,-0.02501605627,-0.02552954592
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","MYS",-0.1313388313,-0.1368085374,-0.1427622439,-0.1480632791,-0.15248322,-0.1560754178
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","MEX",-0.1214541038,-0.1263916379,-0.1318699947,-0.1367920265,-0.1408507086,-0.1440748934
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)",NA,-0.1505774997,-0.1566245907,-0.1633272943,-0.1693951121,-0.1744838104,-0.1786152487
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","NLD",-0.05753268886,-0.05988934275,-0.06251437217,-0.06493821259,-0.06693694476,-0.06847934593
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","NZL",-0.06144479534,-0.06387305634,-0.0665274334,-0.0688638931,-0.07073712485,-0.07221354516
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","NOR",-0.00722607566,-0.00753892547,-0.00780350881,-0.00797215084,-0.00813446552,-0.00823572146
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","POL",-0.05365974401,-0.05587558288,-0.05828380716,-0.06034899958,-0.06194427756,-0.06316854769
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","PRT",-0.09021055493,-0.09392515569,-0.09795353932,-0.1014947268,-0.1045010803,-0.1069608831
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","ROU",-0.08261226843,-0.08647540532,-0.09068291641,-0.09463634651,-0.09803774759,-0.1008763615
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","RUS",-0.01540402806,-0.01592775866,-0.01647386625,-0.0170069345,-0.01752713636,-0.01802705365
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","SGP",-0.1257139434,-0.1310325059,-0.1368115832,-0.1420599036,-0.146552546,-0.1502683283
