"X","country","ISO2","actual","est","est_lower","est_upper","cd_actual","pd_actual","cd_est","pd_est","cd_est_95","pd_est_95","rating_delta","cd_delta","pd_delta","rating_delta_95","cd_delta_95","pd_delta_95","model","scenario_","year"
3,"Austria","AT",19,16.4112388888889,15.304091243988,17.5183865337897,0.640457129391164,1.00324021516269,0.818368718955501,2.9880104323679,0.890342741413058,2.97984639949351,-2.58876111111111,0.177911589564336,1.98477021720521,-3.69590875601196,0.249885612021894,1.97660618433082,"MESSAGEix-GLOBIOM 2.0-M-R12-NGFS","Below 2","30"
4,"Belgium","BE",18,14.8557916666667,13.7120061048605,15.9995772284728,0.720901920982245,2.2670672729256,0.925614586739924,2.94141289534095,1.04322810769841,2.94027567618674,-3.14420833333333,0.20471266575768,0.674345622415345,-4.28799389513948,0.322326186716165,0.673208403261143,"MESSAGEix-GLOBIOM 2.0-M-R12-NGFS","Below 2","30"
5,"Brazil","BR",8.66666666666667,4.12068472222222,3.23250389902441,5.00886554542004,2.52551799534407,12.5522695799178,6.31267386084637,52.6066971751159,7.44351326759848,65.848865878433,-4.54598194444444,3.7871558655023,40.0544275951981,-5.43416276764226,4.91799527225441,53.2965962985152,"MESSAGEix-GLOBIOM 2.0-M-R12-NGFS","Below 2","30"
6,"Bulgaria","BG",11,10.3648291666667,9.47358620625378,11.2560721270796,1.58708246480164,5.22159971540106,1.79089692496166,6.58673606518509,2.1394198325064,9.25517518752872,-0.635170833333333,0.203814460160021,1.36513634978402,-1.52641379374622,0.552337367704764,4.03357547212766,"MESSAGEix-GLOBIOM 2.0-M-R12-NGFS","Below 2","30"
7,"Canada","CA",20,19.2706777777778,18.3468253059529,20.1945302496026,0.528295218534761,0,0.613820898012704,0.515778881763424,0.695709087901314,1.91645562941594,-0.729322222222223,0.0855256794779435,0.515778881763424,-1.65317469404706,0.167413869366553,1.91645562941594,"MESSAGEix-GLOBIOM 2.0-M-R12-NGFS","Below 2","30"
8,"Chile","CL",16.3333333333333,10.1269222222222,9.12241677593701,11.1314276685074,0.823008518368437,2.99602256341964,1.87646486516205,7.20780892431429,2.29873878680482,10.5795174997086,-6.20641111111111,1.05345634679361,4.21178636089464,-7.21091655739632,1.47573026843638,7.583494936289,"MESSAGEix-GLOBIOM 2.0-M-R12-NGFS","Below 2","30"
9,"China","CN",16.3333333333333,8.71142222222222,7.82144661761951,9.60139782682493,0.823008518368437,2.99602256341964,2.50221364035257,12.3452982267098,3.01023226814215,17.040112277525,-7.62191111111111,1.67920512198413,9.34927566329011,-8.51188671571382,2.18722374977372,14.0440897141053,"MESSAGEix-GLOBIOM 2.0-M-R12-NGFS","Below 2","30"
10,"Croatia","HR",9.83333333333333,7.08688472222222,6.13313519119339,8.04063425325105,1.98942265581657,8.06368173992337,3.50475452078903,21.9061780405852,4.25814582511033,29.7209297997567,-2.74644861111111,1.51533186497246,13.8424963006619,-3.70019814213994,2.26872316929376,21.6572480598333,"MESSAGEix-GLOBIOM 2.0-M-R12-NGFS","Below 2","30"
11,"Czech Republic","CZ",17,13.5269041666667,12.6183515855568,14.4354567477766,0.783809906904573,2.85987858509344,1.06702605874548,2.9699622550778,1.20833528530771,3.32166924690642,-3.47309583333333,0.283216151840911,0.110083669984363,-4.38164841444325,0.424525378403135,0.461790661812984,"MESSAGEix-GLOBIOM 2.0-M-R12-NGFS","Below 2","30"
12,"Denmark","DK",20,18.024825,17.0370547969903,19.0125952030097,0.528295218534761,0,0.71917578572426,2.24476721568348,0.781626201522562,2.84719529654276,-1.975175,0.1908805671895,2.24476721568348,-2.96294520300967,0.253330982987801,2.84719529654276,"MESSAGEix-GLOBIOM 2.0-M-R12-NGFS","Below 2","30"
13,"Egypt","EG",5.5,4.10742916666667,3.22021733451699,4.99464099881634,4.83323901645505,35.9320499057748,6.32848665040849,52.7892838085425,7.46019512024139,66.0467788587177,-1.39257083333333,1.49524763395344,16.8572339027677,-2.27978266548301,2.62695610378634,30.1147289529428,"MESSAGEix-GLOBIOM 2.0-M-R12-NGFS","Below 2","30"
14,"Estonia","EE",17,16.2803875,15.3473541498263,17.2134208501737,0.783809906904573,2.85987858509344,0.826182510186868,3.00046622738745,0.887179231366256,2.9833524606091,-0.7196125,0.0423726032822952,0.140587642294008,-1.65264585017367,0.103369324461683,0.123473875515657,"MESSAGEix-GLOBIOM 2.0-M-R12-NGFS","Below 2","30"
15,"Finland","FI",19,18.8946666666667,18.0069823521908,19.7823509811426,0.640457129391164,1.00324021516269,0.650178948675789,1.17483401487249,0.720417524890213,2.26083704441751,-0.105333333333334,0.0097218192846249,0.171593799709797,-0.993017647809246,0.0799603954990485,1.25759682925482,"MESSAGEix-GLOBIOM 2.0-M-R12-NGFS","Below 2","30"
16,"France","FR",18,11.2714486111111,10.0663241592655,12.4765730629567,0.720901920982245,2.2670672729256,1.51024755934979,4.75741757134387,1.89910371013702,7.37621066983546,-6.72855138888889,0.789345638367546,2.49035029841827,-7.93367584073447,1.17820178915477,5.10914339690986,"MESSAGEix-GLOBIOM 2.0-M-R12-NGFS","Below 2","30"
17,"Germany","DE",20,17.5271402777778,16.639758613586,18.4145219419696,0.528295218534761,0,0.751966545854932,2.616922699063,0.804908699599223,2.95342006918065,-2.47285972222222,0.223671327320171,2.616922699063,-3.36024138641403,0.276613481064462,2.95342006918065,"MESSAGEix-GLOBIOM 2.0-M-R12-NGFS","Below 2","30"
18,"Greece","GR",6.16666666666667,6.69091111111111,5.79485371435638,7.58696850786584,4.22940482476681,29.4155420809183,3.80168681012113,24.9357978460614,4.557669086031,32.9329610774052,0.524244444444444,-0.427718014645678,-4.4797442348569,-0.371812952310283,0.328264261264194,3.51741899648685,"MESSAGEix-GLOBIOM 2.0-M-R12-NGFS","Below 2","30"
